Duration,Start date,End date,Start station #,Start station,Start Station Lat,Start Station Lng,End station #,End station,LATITUDE,LONGITUDE,Bike number,Member type,LOCKED
780,1/4/11 8:33,1/4/11 8:16,31022,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,31113,8th & H St NW,38.90534,-77.046774,W00247,Member,NO
,,,,,,,31113,10th & U St NW,38.903407,-77.043648,,,
881,1/4/11 10:27,1/4/11 9:56,31615,20th St & Florida Ave NW,38.9154,-77.0446,31115,New Hampshire Ave & T St NW,38.905067,-77.041779,W01034,Member,NO
,,,,,,,31115,Massachusetts Ave & Dupont Circle NW,38.90304,-77.019027,,,
804,1/4/11 10:50,1/4/11 10:13,31307,Adams Mill & Columbia Rd NW,38.922925,-77.042581,31116,Georgia & New Hampshire Ave NW,38.9308,-77.0315,W00819,Member,NO
,,,,,,,31116,Columbus Circle / Union Station,38.860227,-76.966572,,,
282,1/1/11 11:32,1/1/11 11:37,31002,20th & Crystal Dr,38.856425,-77.049232,31200,Lamont & Mt Pleasant NW,38.85725,-77.05332,W00353,Member,NO
,,,,,,,31200,10th & U St NW,38.900283,-77.029822,,,
1569,1/1/11 13:10,1/1/11 13:36,31101,Georgia & New Hampshire Ave NW,38.936043,-77.024649,31201,19th & L St NW,38.926088,-77.036536,W00858,Member,NO
,,,,,,,31201,Massachusetts Ave & Dupont Circle NW,38.90985,-77.034438,,,
706,1/2/11 17:09,1/2/11 16:46,31618,14th & G St NW,38.898385,-77.031666,31202,Lincoln Park / 13th & East Capitol St NE ,38.9101,-77.0444,W00683,Casual,NO
,,,,,,,31202,14th & G St NW,38.912939,-77.032085,,,
553,1/1/11 14:30,1/1/11 14:39,31205,Columbus Circle / Union Station,38.89696,-77.00493,31203,Georgia & New Hampshire Ave NW,38.900022,-76.988422,W00524,Casual,NO
,,,,,,,31203,Calvert & Biltmore St NW,38.886277,-77.028242,,,
477,1/3/11 9:36,1/3/11 9:13,31208,14th & R St NW,38.912939,-77.032085,31204,14th & V St NW,38.899632,-77.031686,W00856,Member,NO
,,,,,,,31204,14th & V St NW,38.9308,-77.0315,,,
225,1/2/11 12:32,1/2/11 12:26,31505,Convention Center / 7th & M St NW,38.905737,-77.02227,31205,14th & Harvard St NW,38.90304,-77.019027,W00008,Member,NO
,,,,,,,31205,11th & Kenyon St NW,38.89696,-77.00493,,,
1044,1/1/11 14:56,1/1/11 15:13,31200,13th St & New York Ave NW,38.900283,-77.029822,31206,Lamont & Mt Pleasant NW,38.9086,-77.0323,W00727,Casual,NO
,,,,,,,31206,Georgia & New Hampshire Ave NW,38.903827,-77.053485,,,
686,1/1/11 22:40,1/1/11 22:10,31401,New Hampshire Ave & T St NW,38.91554,-77.03818,31207,7th & T St NW,38.91554,-77.03818,W00787,Casual,NO
,,,,,,,31207,10th & U St NW,38.899032,-77.033354,,,
440,1/1/11 17:52,1/1/11 17:35,31229,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,31208,10th & U St NW,38.903827,-77.053485,W00820,Member,NO
,,,,,,,31208,15th & P St NW,38.912939,-77.032085,,,
6222,1/2/11 17:16,1/2/11 18:33,31700,12th & Newton St NE,38.933668,-76.991016,31209,21st & M St NW,38.933668,-76.991016,W00038,Member,NO
,,,,,,,31209,19th & L St NW,38.90985,-77.034438,,,
161,1/3/11 13:56,1/3/11 12:10,31005,Columbus Circle / Union Station,38.89696,-77.00493,31211,5th & K St NW,38.897222,-77.019347,W00277,Member,NO
,,,,,,,31211,Park Rd & Holmead Pl NW,38.9176,-77.0321,,,
4642,1/2/11 12:13,1/2/11 12:32,31235,New Hampshire Ave & T St NW,38.91554,-77.03818,31212,13th St & New York Ave NW,38.926088,-77.036536,W00663,Member,NO
,,,,,,,31212,16th & Harvard St NW,38.882915,-76.987907,,,
392,1/2/11 15:04,1/2/11 13:34,31100,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,31213,15th & P St NW,38.8803,-76.9862,W00129,Member,NO
,,,,,,,31213,Massachusetts Ave & Dupont Circle NW,38.900413,-76.982872,,,
623,1/1/11 15:49,1/1/11 15:55,31622,27th & Crystal Dr,38.848466,-77.051514,31214,13th & H St NE,38.8533,-77.0498,W00395,Member,NO
,,,,,,,31214,Park Rd & Holmead Pl NW,38.9375,-77.0328,,,
422,1/2/11 13:02,1/2/11 12:39,31214,14th St & Spring Rd NW,38.9375,-77.0328,31215,5th & K St NW,38.8952,-77.0436,W00956,Member,NO
,,,,,,,31215,Columbus Circle / Union Station,38.878694,-77.023054,,,
210,1/2/11 12:32,1/2/11 12:33,31617,3rd & H St NW,38.899408,-77.015289,31216,14th & Rhode Island Ave NW,38.905067,-77.041779,W00474,Member,NO
,,,,,,,31216,New Hampshire Ave & T St NW,38.8923,-77.0436,,,
603,1/1/11 15:44,1/1/11 15:31,31009,Maine Ave & 7th St SW,38.878694,-77.023054,31217,New York Ave & 15th St NW,38.8997,-77.023086,W00399,Member,NO
,,,,,,,31217,25th St & Pennsylvania Ave NW,38.929464,-77.027822,,,
452,1/2/11 16:34,1/2/11 14:49,31301,21st & M St NW,38.90534,-77.046774,31218,14th & R St NW,38.90985,-77.034438,W00948,Member,NO
,,,,,,,31218,15th & P St NW,38.9121,-77.0387,,,
411,1/2/11 11:03,1/2/11 10:41,31619,Georgia Ave and Fairmont St NW,38.9249,-77.0222,31219,5th & F St NW,38.9176,-77.0321,W00274,Member,NO
,,,,,,,31219,14th & V St NW,38.922925,-77.042581,,,
2345,1/3/11 7:29,1/2/11 19:14,31608,14th & R St NW,38.912939,-77.032085,31220,16th & Harvard St NW,38.89696,-77.00493,W00748,Member,NO
,,,,,,,31220,14th & D St SE,38.890461,-76.988355,,,
511,1/1/11 19:20,1/1/11 18:19,31607,15th & P St NW,38.90985,-77.034438,31221,14th St & Spring Rd NW,38.8997,-77.023086,W01034,Member,NO
,,,,,,,31221,19th & E Street NW,38.905067,-77.041779,,,
134,1/1/11 13:40,1/1/11 13:42,31623,16th & Harvard St NW,38.926088,-77.036536,31222,Maine Ave & 7th St SW,38.926088,-77.036536,W00049,Member,NO
,,,,,,,31222,18th & M St NW,38.894832,-76.987633,,,
963,1/1/11 17:14,1/1/11 17:22,31104,14th & Rhode Island Ave NW,38.9086,-77.0323,31223,19th St & Constitution Ave NW,38.8997,-77.023086,W00488,Casual,NO
,,,,,,,31223,8th & H St NW,38.893028,-77.026013,,,
433,1/1/11 1:59,1/1/11 2:06,31221,18th & M St NW,38.905067,-77.041779,31224,11th & Kenyon St NW,38.903407,-77.043648,W00512,Member,NO
,,,,,,,31224,15th & P St NW,38.9101,-77.0444,,,
319,1/3/11 10:26,1/3/11 9:41,31216,19th St & Constitution Ave NW,38.8923,-77.0436,31225,17th & Corcoran St NW,38.893028,-77.026013,W00335,Casual,NO
,,,,,,,31225,14th & V St NW,38.890461,-76.988355,,,
884,1/3/11 9:05,1/3/11 9:03,31213,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872,31226,Adams Mill & Columbia Rd NW,38.89696,-77.00493,W00948,Member,NO
,,,,,,,31226,Columbus Circle / Union Station,38.878694,-77.023054,,,
593,1/2/11 12:19,1/2/11 12:23,31501,3rd & D St SE,38.8851,-77.0023,31227,Lincoln Park / 13th & East Capitol St NE ,38.8763,-77.0037,W01066,Member,NO
,,,,,,,31227,8th & H St NW,38.9008,-77.047,,,
519,1/1/11 15:14,1/1/11 15:20,31611,19th & L St NW,38.903407,-77.043648,31228,18th & M St NW,38.8952,-77.0436,W00346,Casual,NO
,,,,,,,31228,16th & Harvard St NW,38.8997,-77.023086,,,
261,1/1/11 10:30,1/1/11 10:35,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.884,-76.995397,31229,13th & D St NE,38.890461,-76.988355,W01044,Member,NO
,,,,,,,31229,8th & H St NW,38.9101,-77.0444,,,
863,1/3/11 20:46,1/3/11 20:06,31621,New Hampshire Ave & T St NW,38.91554,-77.03818,31230,19th & L St NW,38.90276,-77.03863,W00286,Member,NO
,,,,,,,31230,Massachusetts Ave & Dupont Circle NW,38.89696,-77.00493,,,
954,1/3/11 19:51,1/3/11 19:29,31230,Columbus Circle / Union Station,38.89696,-77.00493,31231,10th St & Constitution Ave NW,38.912939,-77.032085,W00203,Member,NO
,,,,,,,31231,Lincoln Park / 13th & East Capitol St NE ,38.9155,-77.0222,,,
191,1/3/11 19:53,1/3/11 19:19,31705,Park Rd & Holmead Pl NW,38.9308,-77.0315,31232,Columbus Circle / Union Station,38.893028,-77.026013,W00590,Member,NO
,,,,,,,31232,Maine Ave & 7th St SW,38.9308,-77.0315,,,
237,1/3/11 20:27,1/3/11 19:30,31703,5th & K St NW,38.90304,-77.019027,31233,21st & I St NW,38.9086,-77.0323,W00171,Member,NO
,,,,,,,31233,19th & E Street NW,38.893028,-77.026013,,,
749,1/1/11 20:11,1/1/11 19:52,31223,10th St & Constitution Ave NW,38.893028,-77.026013,31235,8th & H St NW,38.8767,-77.0178,W00823,Member,NO
,,,,,,,31235,Lincoln Park / 13th & East Capitol St NE ,38.91554,-77.03818,,,
6865,1/3/11 11:30,1/3/11 12:20,31303,USDA / 12th & Independence Ave SW,38.886277,-77.028242,31236,Massachusetts Ave & Dupont Circle NW,38.886277,-77.028242,W00818,Member,NO
,,,,,,,31236,Columbus Circle / Union Station,38.893028,-77.026013,,,
376,1/1/11 16:17,1/1/11 16:21,31207,New York Ave & 15th St NW,38.899032,-77.033354,31237,14th & R St NW,38.886277,-77.028242,W00524,Casual,NO
,,,,,,,31237,7th & T St NW,38.886952,-76.996806,,,
743,1/1/11 12:37,1/1/11 12:49,31202,14th & R St NW,38.912939,-77.032085,31238,10th St & Constitution Ave NW,38.929464,-77.027822,W00579,Member,NO
,,,,,,,31238,Park Rd & Holmead Pl NW,38.898385,-77.031666,,,
1336,1/4/11 8:31,1/4/11 8:15,31021,7th & T St NW,38.9155,-77.0222,31239,14th & Rhode Island Ave NW,38.9008,-77.047,W00475,Member,NO
,,,,,,,31239,10th St & Constitution Ave NW,38.9268,-77.0322,,,
1289,1/4/11 8:36,1/4/11 8:26,31244,Lamont & Mt Pleasant NW,38.9319,-77.0388,31241,New Hampshire Ave & T St NW,38.9172,-77.0259,W00478,Member,NO
,,,,,,,31241,USDA / 12th & Independence Ave SW,38.9121,-77.0387,,,
736,1/4/11 8:55,1/4/11 8:43,31242,14th & R St NW,38.912939,-77.032085,31242,10th St & Constitution Ave NW,38.898385,-77.031666,W00718,Member,NO
,,,,,,,31242,USDA / 12th & Independence Ave SW,38.912939,-77.032085,,,
588,1/4/11 9:41,1/4/11 8:46,31115,5th & K St NW,38.90304,-77.019027,31244,11th & Kenyon St NW,38.8952,-77.0436,W01025,Member,NO
,,,,,,,31244,14th & G St NW,38.9319,-77.0388,,,
291,1/4/11 9:07,1/4/11 8:37,31625,14th & Rhode Island Ave NW,38.9086,-77.0323,31245,21st & I St NW,38.897222,-77.019347,W00302,Member,NO
,,,,,,,31245,14th & Harvard St NW,38.91554,-77.03818,,,
697,1/4/11 10:56,1/4/11 10:52,31626,Lamont & Mt Pleasant NW,38.9319,-77.0388,31246,10th & U St NW,38.9308,-77.0315,W00999,Member,NO
,,,,,,,31246,17th & Corcoran St NW,38.903407,-77.043648,,,
149,1/4/11 7:52,1/3/11 22:35,31017,Georgia & New Hampshire Ave NW,38.936043,-77.024649,31261,14th & G St NW,38.8997,-77.023086,W00823,Member,NO
,,,,,,,31261,14th & R St NW,38.8851,-77.0023,,,
888,1/3/11 22:33,1/3/11 20:08,31701,New Hampshire Ave & T St NW,38.91554,-77.03818,31262,19th & E Street NW,38.9121,-77.0387,W00746,Member,NO
413,1/3/11 8:45,1/3/11 7:21,31108,Georgia & New Hampshire Ave NW,38.936043,-77.024649,31266,Lamont & Mt Pleasant NW,38.90534,-77.046774,W00723,Member,NO
316,1/2/11 16:50,1/2/11 15:09,31105,19th St & Constitution Ave NW,38.8923,-77.0436,31300,5th & F St NW,38.8923,-77.0436,W00976,Casual,NO
,,,,,,,31300,New Hampshire Ave & T St NW,38.944551,-77.063896,,,
862,1/3/11 12:40,1/3/11 11:56,31004,21st & M St NW,38.90534,-77.046774,31301,Park Rd & Holmead Pl NW,38.90534,-77.046774,W00444,Casual,NO
,,,,,,,31301,19th & L St NW,38.90534,-77.046774,,,
101,1/3/11 18:15,1/3/11 17:41,31008,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,31302,8th & H St NW,38.91554,-77.03818,W00277,Member,NO
,,,,,,,31302,17th & Corcoran St NW,38.9176,-77.0321,,,
380,1/3/11 14:59,1/3/11 14:02,31215,Maine Ave & 7th St SW,38.878694,-77.023054,31303,21st & M St NW,38.8763,-77.0037,W00856,Casual,NO
,,,,,,,31303,19th St & Constitution Ave NW,38.886277,-77.028242,,,
201,1/3/11 14:18,1/3/11 12:21,31211,14th & V St NW,38.9176,-77.0321,31304,Van Ness Metro / UDC,38.90276,-77.03863,W00786,Member,NO
,,,,,,,31304,21st & M St NW,38.903407,-77.043648,,,
643,1/1/11 19:40,1/1/11 19:30,31605,Lamont & Mt Pleasant NW,38.9319,-77.0388,31305,21st & M St NW,38.9155,-77.0222,W00948,Member,NO
,,,,,,,31305,New Hampshire Ave & T St NW,38.899408,-77.015289,,,
,,,,,,,31307,14th & V St NW,38.922925,-77.042581,,,
281,1/2/11 20:58,1/2/11 17:57,31624,11th & Kenyon St NW,38.929464,-77.027822,31400,M St & New Jersey Ave SE,38.9319,-77.0388,W00573,Member,NO
,,,,,,,31400,USDA / 12th & Independence Ave SW,38.8997,-77.023086,,,
389,1/2/11 16:52,1/2/11 15:31,31600,14th & V St NW,38.9176,-77.0321,31401,17th & K St NW,38.9268,-77.0322,W00158,Member,NO
,,,,,,,31401,19th & L St NW,38.91554,-77.03818,,,
403,1/3/11 9:55,1/3/11 9:37,31010,11th & Kenyon St NW,38.929464,-77.027822,31402,7th & T St NW,38.898385,-77.031666,W00219,Member,NO
,,,,,,,31402,Adams Mill & Columbia Rd NW,38.9176,-77.0321,,,
789,1/4/11 10:49,1/4/11 10:04,31614,1st & M St NE,38.9057,-77.0056,31404,Lamont & Mt Pleasant NW,38.9086,-77.0323,W00449,Member,NO
,,,,,,,31404,8th & H St NW,38.89696,-77.00493,,,
512,1/3/11 18:39,1/3/11 18:31,31018,14th & G St NW,38.898385,-77.031666,31500,14th & Harvard St NW,38.8997,-77.023086,W00179,Member,NO
,,,,,,,31500,New Hampshire Ave & T St NW,38.897222,-77.019347,,,
615,1/1/11 21:59,1/1/11 20:21,31604,8th & H St NW,38.8997,-77.023086,31501,14th & G St NW,38.905737,-77.02227,W01000,Member,NO
,,,,,,,31501,14th & V St NW,38.8851,-77.0023,,,
616,1/3/11 17:39,1/3/11 17:16,31304,19th & L St NW,38.903407,-77.043648,31502,14th & Rhode Island Ave NW,38.905067,-77.041779,W00129,Member,NO
,,,,,,,31502,Columbus Circle / Union Station,38.9176,-77.0321,,,
1125,1/3/11 7:14,1/2/11 18:16,31220,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,31503,8th & H St NW,38.89696,-77.00493,W00862,Member,NO
,,,,,,,31503,5th & F St NW,38.9126,-77.0135,,,
304,1/3/11 15:15,1/3/11 14:31,31013,14th & V St NW,38.9176,-77.0321,31504,Convention Center / 7th & M St NW,38.886266,-77.022241,W00943,Casual,NO
,,,,,,,31504,3rd & D St SE,38.903827,-77.053485,,,
602,1/2/11 13:28,1/2/11 12:42,31206,25th St & Pennsylvania Ave NW,38.903827,-77.053485,31505,18th & M St NW,38.9101,-77.0444,W00312,Member,NO
,,,,,,,31505,14th & V St NW,38.905737,-77.02227,,,
799,1/4/11 9:44,1/4/11 9:03,31404,Columbus Circle / Union Station,38.89696,-77.00493,31506,Columbus Circle / Union Station,38.9003,-77.0429,W00689,Member,NO
,,,,,,,31506,25th St & Pennsylvania Ave NW,38.922925,-77.042581,,,
1055,1/1/11 11:52,1/1/11 12:09,31201,15th & P St NW,38.90985,-77.034438,31600,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,W00169,Casual,NO
,,,,,,,31600,Convention Center / 7th & M St NW,38.9176,-77.0321,,,
852,1/3/11 9:30,1/3/11 9:18,31218,17th & Corcoran St NW,38.9121,-77.0387,31601,19th St & Pennsylvania Ave NW,38.9008,-77.047,W00857,Member,NO
,,,,,,,31601,Adams Mill & Columbia Rd NW,38.910972,-77.00495,,,
529,1/1/11 18:11,1/1/11 18:01,31610,13th & H St NE,38.900022,-76.988422,31602,Massachusetts Ave & Dupont Circle NW,38.9057,-77.0056,W00437,Member,NO
,,,,,,,31602,14th & V St NW,38.936043,-77.024649,,,
947,1/1/11 16:26,1/1/11 16:33,31102,Georgia Ave and Fairmont St NW,38.9249,-77.0222,31603,21st & I St NW,38.929464,-77.027822,W00915,Member,NO
,,,,,,,31603,Eckington Pl & Q St NE,38.9308,-77.0315,,,
1205,1/2/11 17:57,1/2/11 17:36,31106,11th & Kenyon St NW,38.929464,-77.027822,31604,1st & M St NE,38.893028,-77.026013,W00018,Member,NO
,,,,,,,31604,Georgia & New Hampshire Ave NW,38.8997,-77.023086,,,
500,1/2/11 18:35,1/2/11 17:39,31236,10th St & Constitution Ave NW,38.893028,-77.026013,31605,11th & Kenyon St NW,38.923203,-77.047637,W00836,Member,NO
,,,,,,,31605,Park Rd & Holmead Pl NW,38.9319,-77.0388,,,
816,1/1/11 17:27,1/1/11 17:27,31219,Adams Mill & Columbia Rd NW,38.922925,-77.042581,31606,10th St & Constitution Ave NW,38.9319,-77.0388,W00772,Member,NO
,,,,,,,31606,8th & H St NW,38.9008,-77.047,,,
406,1/1/11 15:21,1/1/11 15:22,31609,20th St & Florida Ave NW,38.9154,-77.0446,31607,Calvert & Biltmore St NW,38.923203,-77.047637,W00890,Member,NO
,,,,,,,31607,Lamont & Mt Pleasant NW,38.90985,-77.034438,,,
369,1/3/11 7:44,1/2/11 21:04,31305,3rd & H St NW,38.899408,-77.015289,31608,Lamont & Mt Pleasant NW,38.898385,-77.031666,?(0xFFFFFFFFEE8DADF1),Member,NO
,,,,,,,31608,21st & I St NW,38.912939,-77.032085,,,
935,1/3/11 11:13,1/3/11 10:10,31606,21st & I St NW,38.9008,-77.047,31609,Calvert & Biltmore St NW,38.9101,-77.0444,W00478,Member,NO
,,,,,,,31609,15th & P St NW,38.9154,-77.0446,,,
19290,1/3/11 14:26,1/3/11 18:02,31204,Park Rd & Holmead Pl NW,38.9308,-77.0315,31610,14th & G St NW,38.922925,-77.042581,W00132,Member,NO
,,,,,,,31610,14th & R St NW,38.900022,-76.988422,,,
579,1/1/11 13:33,1/1/11 13:43,31103,14th & V St NW,38.9176,-77.0321,31611,Massachusetts Ave & Dupont Circle NW,38.90985,-77.034438,W00798,Casual,NO
,,,,,,,31611,20th St & Florida Ave NW,38.903407,-77.043648,,,
